"","zip","bail_amount"
"1175","19139",5e+05
"1176","19100",0
"1177","19140",50000
"1178","19141",0
"1179","19114",0
"1180","19134",0
"1181","19140",50000
"1183","19139",0
"1184","8102",0
"1185","19120",0
"1186","19120",35000
"1187","17815",0
"1189","19141",5e+05
"1190","19132",25000
"1191","19120",5000
"1192","19145",50000
"1193","19144",0
"1195","19139",1e+05
"1196","19001",25000
"1197","19134",0
"1198","19140",150000
"1199","19124",20000
"1200","19122",1e+06
"1201","19143",250000
"1202","19111",25000
"1203","19104",25000
"1204","19133",0
"1205","19801",10000
"1206","19148",15000
"1207","19120",0
"1208","19141",50000
"1210","19150",0
"1211","19135",0
"1213","19132",0
"1215","19120",5000
"1216","19151",25000
"1217","19132",0
"1218","19111",25000
"1219","19141",0
"1220","19144",10000
"1221","19140",0
"1222","19111",10000
"1223","19138",1e+05
"1224","19145",0
"1225","19134",1000
"1226","19355",0
"1227","19144",25000
"1228","19148",15000
"1229","19148",1e+05
"1230","19141",50000
"1231","19132",50000
"1233","19119-2130",35000
"1234","8046",5000
"1235","19145",15000
"1236","19121",0
"1237","19124",0
"1238","19142",10000
"1240","19144",0
"1242","19133",40000
"1243","19132",10000
"1244","19142",0
"1245","19139",10000
"1246","19124",0
"1247","19139",2e+05
"1248","19142",0
"1250","19132",10000
"1251","19133",5000
"1252","19133",40000
"1253","19115",0
"1254","19150",0
"1255","19132",15000
"1256","19121",15000
"1257","19134",6700
"1258","19145",0
"1259","19116",0
"1260","19114",95000
"1261","19143",150000
"1263","19141",50000
"1264","19145",12000
"1265","19149",0
"1266","19133",150000
"1267","19124",0
"1268","19135",1e+05
"1269","19132",10000
"1270","19104",0
"1272","19133",0
"1273","19120",0
"1274","19142",1e+05
"1275","19143",0
"1276","19132",15000
"1277","19120",50000
"1278","19143",0
"1279","19104",1e+05
"1280","19149",25000
"1281","19135",1e+05
"1282","19132",25000
"1283","19140",1e+05
"1284","19145",0
"1285","19132",0
"1287","19143",150000
"1288","19143",0
"1289","19132",25000
"1290","19140",0
"1291","19149",10000
"1293","19149",0
"1294","19149",30000
"1295","19044",15000
"1296","19130",50000
"1297","19134",15000
"1299","19151",7500
"1300","19137",0
"1301","19119",1e+05
"1302","19120",50000
"1303","19132",0
"1304","19122",50000
"1305","15208",0
"1306","19150",0
"1307","19137",0
"1308","19120",25000
"1310","19140",350000
"1311","19401",0
"1312","19132",15000
"1313","19151",7500
"1314","19149",0
"1315","19144",15000
"1316","19131",20000
"1317","19120",0
"1318","19802",0
"1320","19133",10000
"1321","19124",20000
"1322","19124",25000
"1323","19124",0
"1324","19131",150000
"1325","19133",10000
"1326","19139",0
"1327","19149",0
"1328","19141",5000
"1329","19140",0
"1330","19125",10000
"1331","19140",5000
"1332","19128",150000
"1334","19141",75000
"1335","19133",5000
"1336","19144",2e+05
"1337","19140",0
"1338","19132",10000
"1339","19141",0
"1340","19149",5000
"1341","19140",50000
"1343","19148",50000
"1344","19140",50000
"1345","19153",0
"1346","19132",10000
"1347","11435",10000
"1349","19144",50000
"1350","8629",0
"1351","19146",0
"1352","19141",25000
"1353","19144",35000
"1354","19121",35000
"1355","19138",0
"1356","19135",1e+05
"1357","19140",250000
"1358","19104",0
"1359","19134",10000
"1360","19139",15000
"1361","19151",1e+05
"1362","19115",50000
"1363","19124",10300
"1364","19140",25000
"1365","19124",25000
"1366","8003",0
"1367","19134",150000
"1368","19120",10000
"1369","19134",0
"1371","19136",0
"1372","19107",5000
"1373","19119",5000
"1375","19141",10000
"1376","19015",150000
"1377","19140",5000
"1378","19120",25000
"1379","19100",0
"1381","19119",10000
"1382","19145",25000
"1383","19136",0
"1384","19124",0
"1385","19150",12000
"1386","19149",0
"1387","19133",50000
"1388","19131",150000
"1389","19142",20000
"1390","19104",10000
"1392","19120",25000
"1393","8002",0
"1394","19139",750000
"1395","19151",150000
"1396","19147",0
"1397","19111",6700
"1398","19151",10000
"1399","19139",50000
"1400","19134",25000
"1401","19129",0
"1402","19120",25000
"1403","8002",30000
"1404","19134",75000
"1405","19403",0
"1406","19139",0
"1407","19146",5000
"1408","19120",25000
"1409","19139",750000
"1410","19111",0
"1411","19144",0
"1412","19149",50000
"1413","19124",0
"1414","19103",15000
"1415","19144",10000
"1416","19136",150000
"1417","19140",2e+05
"1418","19134",50000
"1419","19124",20000
"1420","19111",5000
"1421","19139",3e+05
"1422","19136",0
"1423","19149",50000
"1424","19111",3e+05
"1425","19144",35000
"1426","19128",0
"1427","19140",10000
"1428","19122",0
"1429","19904",1e+05
"1430","19134",0
"1431","19149",50000
"1432","19134",0
"1434","19151",1e+05
"1435","19140",3e+05
"1436","19138",25000
"1437","19143",0
"1438","19131",0
"1439","19132",0
"1440","19132",25000
"1441","19143",0
"1443","8107",25000
"1444","19149",25000
"1445","19120",7500
"1447","19135",0
"1448","19401",1500
"1449","19122",0
"1450","19145",0
"1451","19111",50000
"1453","19142",0
"1454","19023",0
"1455","19134",50000
"1456","19121",125000
"1457","19134",2500
"1458","19145",1e+05
"1460","19142",0
"1461","19144",25000
"1462","19124",0
"1463","19144",6000
"1464","19143",0
"1465","19140",25000
"1466","8094",0
"1467","8105",0
"1468","19104",0
"1469","19804",0
"1470","19124",2e+05
"1471","19143",50000
"1472","19154",10000
"1473","19111",20000
"1474","19132",15000
"1475","19149",25000
"1476","19146",0
"1477","19134",0
"1478","19120",5000
"1479","19121",25000
"1480","19136",15000
"1481","19124",0
"1482","19139",50000
"1483","19132",30000
"1484","19132",15000
"1485","19131",50000
"1486","19808",0
"1487","19131",0
"1488","19134",1e+05
"1490","19018",0
"1491","19133",10000
"1492","19134",0
"1493","19100",0
"1494","19132",10000
"1495","19145",5000
"1496","19144",0
"1497","19131",50000
"1498","19131",3700
"1499","19151",25000
"1500","8065",10000
"1501","19132",2e+05
"1502","19134",0
"1503","19120",15000
"1504","19134",1e+05
"1505","19143",0
"1506","19144",0
"1507","8012",0
"1508","19140",20000
"1509","19139",50000
"1510","19111",0
"1511","19146",5000
"1512","19151",0
"1513","19132",25000
"1514","19119",0
"1516","19136",0
"1517","19141",1e+05
"1518","19124",5000
"1519","19124",75000
"1520","19141",50000
"1521","19149",0
"1522","19087",0
"1523","19126",4e+05
"1525","19141",0
"1526","19133",0
"1527","19134",35000
"1528","19138",0
"1529","19125",0
"1531","19149",0
"1532","19120",0
"1533","19139",25000
"1534","19121",0
"1535","19134",30000
"1536","19143",7500
"1538","19145",5000
"1539","19720",0
"1540","19121",0
"1541","19100",10000
"1542","19134",7500
"1543","19124",10000
"1544","19135",25000
"1545","19111",25000
"1546","19462",1e+05
"1547","19104",150000
"1548","19143",35000
"1549","19100",3700
"1550","19100",75000
"1551","19133",5000
"1552","19126",10000
"1553","19153",25000
"1554","19145",5000
"1555","19056",0
"1557","19119",10000
"1558","19140",50000
"1559","19139",10000
"1560","19134",5000
"1561","19139",7500
"1562","19143",15000
"1563","19116",10000
"1564","19140",10000
"1565","19120",5000
"1566","19805",1500
"1567","19141",75000
"1568","19132",2500
"1569","19124",50000
"1570","19126",2500
"1571","19805",10000
"1572","19151",75000
"1573","19121",0
"1574","19143",10000
"1575","19142",0
"1576","19132",2500
"1577","19135",50000
"1578","19111",2500
"1579","19138",0
"1580","19141",0
"1581","19143",25000
"1582","19130",150000
"1583","19134",150000
"1584","19149",0
"1585","19119",10000
"1586","19124",0
"1587","19120",0
"1588","19132",30000
"1589","19013",5000
"1590","19144",0
"1592","19132",0
"1593","19124",0
"1594","19140",5000
"1595","19141",2e+05
"1596","19149",225000
"1597","19124",50000
"1598","19135",0
"1599","16823",10000
"1600","19139",4e+05
"1601","19124",5e+05
"1604","19154",10000
"1605","19134",50000
"1606","19115",0
"1607","19143",0
"1608","19134",0
"1609","19154",0
"1610","19143",0
"1611","19149",20000
"1612","19120",5e+05
"1613","19119",50000
"1614","19131",25000
"1615","19018",75000
"1616","19141",25000
"1617","19120",5000
"1619","19144",250000
"1620","19144",20000
"1622","19134",0
"1623","19132",0
